  VENTA  ;FECHA
 552,191,427 ;2/12/2019 0:00
 460,762,482 ;18/01/2019 0:00
 331,814,342 ;16/07/2018 0:00
 702,655,719 ;29/03/2018 0:00
 817,541,603 ;20/10/2019 0:00
 831,786,932 ;15/12/2018 0:00
 379,501,224 ;29/08/2019 0:00
 367,820,847 ;11/05/2018 0:00
 738,143,319 ;19/08/2018 0:00
 1,278,215,175 ;24/12/2018 0:00
 355,819,100 ;8/10/2018 0:00
 653,007,426 ;7/01/2019 0:00
 294,195,317 ;25/09/2019 0:00
 504,761,636 ;12/07/2019 0:00
 386,081,330 ;3/08/2018 0:00
 710,631,200 ;18/02/2018 0:00
 486,515,057 ;19/07/2019 0:00
 562,801,149 ;26/06/2019 0:00
 883,732,734 ;5/05/2019 0:00
 890,626,106 ;13/10/2019 0:00
 796,940,171 ;17/02/2019 0:00
 335,842,283 ;22/08/2019 0:00
 327,681,407 ;4/05/2018 0:00
 457,342,136 ;4/10/2019 0:00
 329,657,376 ;18/05/2018 0:00
 497,780,414 ;9/12/2019 0:00
 328,332,269 ;1/08/2018 0:00
 700,460,985 ;1/06/2019 0:00
 767,988,395 ;24/06/2019 0:00
 652,034,396 ;31/12/2018 0:00
 454,249,199 ;9/01/2019 0:00
 274,560,296 ;23/09/2019 0:00
 297,068,847 ;14/11/2019 0:00
 304,128,410 ;14/06/2018 0:00
 1,074,900,759 ;12/05/2019 0:00
 338,073,462 ;18/07/2018 0:00
 372,579,998 ;5/11/2019 0:00
 707,673,867 ;18/05/2019 0:00
 651,104,705 ;3/02/2018 0:00
 348,845,405 ;27/04/2018 0:00
 692,910,608 ;22/07/2018 0:00
 557,808,438 ;30/10/2018 0:00
 258,150,989 ;20/02/2018 0:00
 778,310,142 ;5/08/2018 0:00
 231,590,247 ;13/11/2018 0:00
 633,069,192 ;25/08/2018 0:00
 414,425,789 ;6/08/2018 0:00
 339,768,986 ;27/08/2019 0:00
 566,316,468 ;28/03/2018 0:00
 623,300,528 ;23/02/2019 0:00
 446,727,501 ;17/05/2019 0:00
 798,672,147 ;14/10/2018 0:00
 502,927,269 ;6/07/2018 0:00
 513,178,515 ;15/04/2019 0:00
 796,228,493 ;3/06/2019 0:00
 403,984,488 ;3/07/2018 0:00
 759,870,777 ;4/02/2018 0:00
 903,830,562 ;17/11/2019 0:00
 309,736,725 ;26/08/2019 0:00
 758,288,372 ;20/01/2019 0:00
 799,319,597 ;10/03/2019 0:00
 348,955,742 ;25/07/2019 0:00
 631,615,416 ;21/06/2019 0:00
 903,930,491 ;13/05/2018 0:00
 668,168,877 ;27/10/2018 0:00
 341,631,108 ;10/07/2018 0:00
 384,777,354 ;20/11/2019 0:00
 515,120,367 ;12/03/2018 0:00
 427,490,079 ;20/06/2018 0:00
 1,053,454,707 ;16/06/2019 0:00
 662,594,348 ;1/04/2018 0:00
 714,108,819 ;1/01/2019 0:00
 920,702,468 ;23/12/2018 0:00
 341,263,475 ;21/08/2019 0:00
 371,351,081 ;25/04/2019 0:00
 675,727,529 ;30/03/2018 0:00
 498,340,164 ;30/08/2019 0:00
 722,315,832 ;2/02/2019 0:00
 673,453,842 ;17/11/2018 0:00
 268,234,340 ;13/05/2019 0:00
 898,782,188 ;31/03/2019 0:00
 868,555,145 ;8/07/2018 0:00
 645,175,571 ;20/08/2018 0:00
 604,869,738 ;21/12/2018 0:00
 623,902,101 ;10/02/2018 0:00
 760,227,405 ;13/07/2019 0:00
 255,619,473 ;21/10/2019 0:00
 264,497,688 ;23/10/2018 0:00
 294,792,375 ;20/05/2019 0:00
 375,392,348 ;22/11/2019 0:00
 682,626,611 ;12/11/2018 0:00
 319,630,382 ;20/02/2019 0:00
 357,288,935 ;1/10/2019 0:00
 297,213,594 ;26/07/2018 0:00
 367,463,136 ;21/09/2018 0:00
 734,919,569 ;8/04/2018 0:00
 789,827,915 ;1/05/2018 0:00
 687,282,105 ;26/12/2019 0:00
 833,343,392 ;9/06/2019 0:00
 658,494,854 ;19/10/2019 0:00
 809,958,446 ;24/03/2019 0:00
 277,273,572 ;2/04/2019 0:00
 284,136,942 ;14/03/2018 0:00
 257,807,928 ;18/10/2018 0:00
 711,162,795 ;7/01/2018 0:00
 945,163,427 ;23/03/2018 0:00
 469,345,778 ;1/03/2019 0:00
 400,455,513 ;17/01/2019 0:00
 1,790,860,671 ;1/07/2018 0:00
 456,496,077 ;9/08/2019 0:00
 635,031,449 ;4/01/2019 0:00
 590,114,795 ;19/12/2019 0:00
 432,044,757 ;30/04/2018 0:00
 750,541,149 ;24/02/2019 0:00
 674,806,001 ;8/09/2018 0:00
 460,358,348 ;19/06/2019 0:00
 393,274,755 ;16/11/2018 0:00
 337,523,970 ;31/05/2018 0:00
 863,119,362 ;6/07/2019 0:00
 1,025,198,715 ;1/05/2019 0:00
 246,327,156 ;15/05/2018 0:00
 664,976,970 ;20/01/2018 0:00
 364,251,668 ;1/06/2018 0:00
 363,656,606 ;8/02/2019 0:00
 269,552,828 ;26/09/2018 0:00
 1,793,585,313 ;24/03/2018 0:00
 209,279,256 ;10/04/2018 0:00
 251,367,365 ;23/08/2018 0:00
 356,938,742 ;5/06/2019 0:00
 355,323,462 ;22/01/2019 0:00
 244,917,870 ;24/09/2018 0:00
 269,762,946 ;10/09/2018 0:00
 531,033,305 ;19/12/2018 0:00
 809,886,230 ;25/08/2019 0:00
 351,010,818 ;30/10/2019 0:00
 260,098,731 ;27/09/2018 0:00
 336,812,777 ;19/11/2019 0:00
 303,062,045 ;6/02/2019 0:00
 671,547,893 ;21/07/2018 0:00
 784,442,678 ;30/03/2019 0:00
 543,865,017 ;20/12/2018 0:00
 456,169,967 ;30/04/2019 0:00
 503,002,214 ;12/10/2018 0:00
 290,326,527 ;5/02/2018 0:00
 311,560,730 ;16/05/2018 0:00
 731,098,977 ;13/04/2019 0:00
 583,090,134 ;3/01/2019 0:00
 803,867,877 ;29/09/2019 0:00
 412,695,188 ;8/07/2019 0:00
 736,005,591 ;29/04/2018 0:00
 305,256,098 ;13/03/2019 0:00
 380,337,983 ;2/02/2018 0:00
 317,768,565 ;7/05/2019 0:00
 747,290,318 ;23/11/2019 0:00
 544,067,874 ;16/12/2019 0:00
 897,873,171 ;3/11/2019 0:00
 754,750,430 ;27/01/2019 0:00
 933,401,826 ;4/08/2019 0:00
 750,965,441 ;26/08/2018 0:00
 440,727,476 ;16/01/2019 0:00
 370,942,764 ;18/10/2019 0:00
 261,623,906 ;29/05/2018 0:00
 270,430,722 ;9/05/2018 0:00
 802,393,139 ;22/12/2018 0:00
 304,826,120 ;7/06/2018 0:00
 336,024,390 ;24/01/2018 0:00
 461,988,083 ;13/12/2018 0:00
 282,605,354 ;14/05/2019 0:00
 524,620,677 ;4/01/2018 0:00
 365,685,269 ;9/07/2018 0:00
 435,633,506 ;29/11/2018 0:00
 332,849,834 ;2/10/2019 0:00
 747,235,304 ;4/11/2018 0:00
 611,496,930 ;22/09/2018 0:00
 289,719,581 ;2/05/2018 0:00
 683,577,405 ;27/12/2019 0:00
 434,272,425 ;28/06/2018 0:00
 309,991,497 ;19/11/2018 0:00
 402,687,227 ;24/05/2019 0:00
 224,783,361 ;28/05/2018 0:00
 627,755,613 ;17/02/2018 0:00
 341,992,311 ;11/04/2019 0:00
 889,960,236 ;7/08/2019 0:00
 280,910,928 ;7/03/2018 0:00
 420,171,381 ;28/11/2018 0:00
 403,752,138 ;18/07/2019 0:00
 260,528,009 ;3/05/2018 0:00
 322,952,174 ;17/07/2018 0:00
 734,361,003 ;26/10/2019 0:00
 310,967,859 ;23/01/2018 0:00
 862,492,085 ;8/09/2019 0:00
 834,838,535 ;30/09/2018 0:00
 421,875,465 ;15/03/2019 0:00
 715,999,133 ;21/01/2018 0:00
 478,024,772 ;10/10/2019 0:00
 281,756,015 ;17/09/2019 0:00
 528,895,352 ;14/12/2018 0:00
 275,268,237 ;26/04/2018 0:00
 412,919,421 ;11/07/2019 0:00
 683,887,346 ;3/03/2018 0:00
 1,003,045,116 ;15/12/2019 0:00
 294,254,930 ;18/02/2019 0:00
 285,182,847 ;1/11/2018 0:00
 416,340,342 ;23/08/2019 0:00
 445,123,985 ;5/12/2018 0:00
 808,387,533 ;15/07/2018 0:00
 591,094,536 ;19/05/2018 0:00
 355,446,047 ;22/03/2019 0:00
 442,517,363 ;12/12/2018 0:00
 278,590,752 ;23/10/2019 0:00
 418,258,469 ;26/11/2019 0:00
 640,738,020 ;8/01/2018 0:00
 709,878,425 ;28/01/2018 0:00
 873,050,016 ;18/08/2019 0:00
 345,020,139 ;4/09/2019 0:00
 526,967,169 ;27/06/2019 0:00
 320,358,218 ;25/01/2018 0:00
 342,172,013 ;13/06/2019 0:00
 387,857,880 ;15/07/2019 0:00
 292,173,758 ;31/07/2018 0:00
 281,107,785 ;8/11/2018 0:00
 227,545,640 ;14/08/2018 0:00
 664,358,595 ;25/05/2019 0:00
 659,575,667 ;28/07/2018 0:00
 383,734,190 ;9/01/2018 0:00
 847,885,932 ;25/11/2018 0:00
 626,777,634 ;20/10/2018 0:00
 358,795,688 ;20/09/2019 0:00
 718,005,615 ;19/08/2019 0:00
 499,084,626 ;12/12/2019 0:00
 462,601,200 ;27/06/2018 0:00
 379,816,184 ;30/07/2019 0:00
 737,181,407 ;11/11/2019 0:00
 355,633,220 ;3/09/2019 0:00
 779,535,006 ;8/12/2018 0:00
 230,251,800 ;3/04/2018 0:00
 249,593,445 ;22/05/2018 0:00
 671,018,549 ;24/11/2018 0:00
 596,291,730 ;8/11/2019 0:00
 634,781,478 ;6/10/2018 0:00
 347,235,542 ;4/03/2019 0:00
 251,054,838 ;22/04/2019 0:00
 385,643,007 ;8/06/2018 0:00
 723,683,882 ;30/12/2019 0:00
 320,953,959 ;28/02/2018 0:00
 284,057,555 ;7/11/2018 0:00
 291,946,071 ;8/04/2019 0:00
 977,336,016 ;30/06/2019 0:00
 606,521,117 ;13/12/2019 0:00
 227,831,793 ;8/05/2018 0:00
 274,460,664 ;18/09/2019 0:00
 320,710,841 ;19/03/2019 0:00
 400,544,352 ;11/01/2018 0:00
 406,365,408 ;31/08/2018 0:00
 209,037,932 ;4/04/2018 0:00
 252,386,837 ;14/02/2018 0:00
 421,374,203 ;1/08/2019 0:00
 349,490,514 ;5/03/2019 0:00
 680,838,093 ;31/12/2019 0:00
 890,855,645 ;6/10/2019 0:00
 889,060,437 ;24/11/2019 0:00
 250,515,503 ;22/10/2018 0:00
 279,704,520 ;28/05/2019 0:00
 811,725,777 ;11/05/2019 0:00
 752,131,766 ;29/07/2018 0:00
 491,313,915 ;2/08/2019 0:00
 266,259,483 ;28/01/2019 0:00
 309,948,857 ;8/05/2019 0:00
 290,031,501 ;24/10/2019 0:00
 275,821,308 ;19/09/2018 0:00
 695,148,237 ;17/08/2019 0:00
 425,474,696 ;31/07/2019 0:00
 330,591,810 ;16/08/2018 0:00
 255,882,921 ;22/10/2019 0:00
 412,492,688 ;25/11/2019 0:00
 750,771,041 ;5/10/2019 0:00
 338,091,765 ;2/08/2018 0:00
 630,540,980 ;14/01/2018 0:00
 748,609,608 ;4/05/2019 0:00
 700,683,492 ;29/11/2019 0:00
 250,647,749 ;26/02/2018 0:00
 344,109,135 ;14/09/2018 0:00
 732,092,259 ;23/09/2018 0:00
 307,300,725 ;27/02/2019 0:00
 1,135,438,788 ;29/06/2018 0:00
 434,914,808 ;15/11/2019 0:00
 239,403,560 ;16/10/2018 0:00
 560,329,482 ;17/12/2019 0:00
 579,879,623 ;26/05/2018 0:00
 723,524,471 ;20/04/2019 0:00
 801,528,942 ;4/11/2019 0:00
 698,462,951 ;4/06/2018 0:00
 483,499,779 ;5/03/2018 0:00
 465,068,639 ;8/01/2019 0:00
 259,298,003 ;26/03/2019 0:00
 280,032,728 ;10/05/2018 0:00
 335,787,812 ;26/11/2018 0:00
 621,260,396 ;18/08/2018 0:00
 788,779,028 ;23/06/2019 0:00
 354,962,064 ;26/09/2019 0:00
 318,009,444 ;30/01/2018 0:00
 476,957,786 ;18/06/2019 0:00
 315,383,306 ;29/05/2019 0:00
 718,600,028 ;26/01/2019 0:00
 307,085,718 ;14/08/2019 0:00
 365,519,391 ;9/10/2018 0:00
 328,389,687 ;17/10/2019 0:00
 857,856,588 ;14/04/2019 0:00
 317,148,212 ;30/09/2019 0:00
 288,574,268 ;28/03/2019 0:00
 786,249,254 ;31/10/2019 0:00
 323,465,393 ;23/07/2019 0:00
 532,556,073 ;30/11/2018 0:00
 446,634,836 ;27/09/2019 0:00
 297,746,732 ;7/02/2019 0:00
 347,857,758 ;21/01/2019 0:00
 753,833,591 ;9/09/2018 0:00
 276,061,847 ;25/02/2019 0:00
 597,689,267 ;3/01/2018 0:00
 779,770,952 ;28/10/2018 0:00
 349,476,719 ;17/01/2018 0:00
 349,502,982 ;2/05/2019 0:00
 313,094,204 ;16/05/2019 0:00
 808,318,454 ;19/05/2019 0:00
 708,627,905 ;19/01/2019 0:00
 767,589,392 ;1/12/2018 0:00
 415,201,391 ;1/11/2019 0:00
 268,713,606 ;11/03/2019 0:00
 456,994,446 ;5/07/2018 0:00
 699,538,019 ;2/01/2019 0:00
 740,669,000 ;28/04/2018 0:00
 323,229,564 ;7/09/2018 0:00
 283,524,335 ;30/05/2018 0:00
 269,709,447 ;12/03/2019 0:00
 374,966,754 ;8/03/2018 0:00
 721,744,899 ;5/01/2019 0:00
 369,782,067 ;29/03/2019 0:00
 715,160,690 ;6/01/2019 0:00
 753,847,374 ;11/03/2018 0:00
 246,858,005 ;19/02/2018 0:00
 592,334,840 ;16/04/2019 0:00
 415,407,767 ;19/01/2018 0:00
 501,836,060 ;17/12/2018 0:00
 303,916,290 ;27/03/2019 0:00
 263,315,061 ;17/09/2018 0:00
 712,772,108 ;18/03/2018 0:00
 775,238,967 ;2/03/2019 0:00
 306,738,192 ;27/05/2019 0:00
 427,454,145 ;5/04/2019 0:00
 882,157,656 ;13/07/2018 0:00
 381,935,748 ;17/08/2018 0:00
 363,407,204 ;5/09/2019 0:00
 742,606,773 ;14/07/2018 0:00
 825,924,288 ;22/09/2019 0:00
 341,081,625 ;30/01/2019 0:00
 384,010,278 ;16/08/2019 0:00
 654,301,911 ;5/11/2018 0:00
 284,719,023 ;23/04/2019 0:00
 321,198,120 ;11/06/2019 0:00
 373,694,141 ;31/01/2019 0:00
 286,800,080 ;24/04/2019 0:00
 788,537,496 ;25/12/2018 0:00
 355,133,220 ;14/02/2019 0:00
 712,624,470 ;1/09/2018 0:00
 364,771,713 ;14/01/2019 0:00
 379,973,202 ;16/07/2019 0:00
 273,526,584 ;3/10/2018 0:00
 663,965,885 ;19/03/2018 0:00
 222,839,165 ;7/05/2018 0:00
 277,288,886 ;9/05/2019 0:00
 309,216,210 ;29/01/2019 0:00
 293,984,163 ;30/08/2018 0:00
 427,201,010 ;25/10/2019 0:00
 687,083,079 ;11/02/2018 0:00
 442,018,371 ;11/12/2018 0:00
 645,259,349 ;17/03/2018 0:00
 641,892,707 ;5/05/2018 0:00
 324,149,189 ;10/09/2019 0:00
 271,765,064 ;22/08/2018 0:00
 446,346,503 ;26/03/2018 0:00
 759,430,319 ;14/10/2019 0:00
 438,633,234 ;3/12/2018 0:00
 1,663,604,490 ;17/06/2018 0:00
 1,013,343,441 ;22/12/2019 0:00
 273,251,285 ;17/05/2018 0:00
 769,510,371 ;22/06/2019 0:00
 287,838,564 ;21/02/2018 0:00
 261,325,838 ;14/11/2018 0:00
 516,753,905 ;5/12/2019 0:00
 751,678,820 ;10/08/2019 0:00
 682,101,537 ;10/03/2018 0:00
 324,600,935 ;13/04/2018 0:00
 352,721,412 ;24/07/2019 0:00
 316,591,497 ;29/04/2019 0:00
 450,668,478 ;27/03/2018 0:00
 1,541,495,754 ;16/06/2018 0:00
 740,487,120 ;23/12/2019 0:00
 693,243,860 ;2/11/2019 0:00
 780,488,738 ;16/11/2019 0:00
 506,046,605 ;3/12/2019 0:00
 332,008,725 ;11/09/2019 0:00
 380,721,017 ;19/06/2018 0:00
 384,742,886 ;11/10/2018 0:00
 247,837,829 ;29/10/2018 0:00
 527,886,681 ;4/12/2019 0:00
 359,883,117 ;16/01/2018 0:00
 427,375,716 ;3/05/2019 0:00
 535,234,427 ;5/07/2019 0:00
 356,491,788 ;24/08/2018 0:00
 669,486,648 ;7/08/2018 0:00
 324,565,916 ;15/11/2018 0:00
 335,193,987 ;22/07/2019 0:00
 914,420,327 ;1/09/2019 0:00
 409,961,244 ;9/07/2019 0:00
 507,990,395 ;10/12/2019 0:00
 605,159,577 ;10/11/2018 0:00
 559,485,188 ;5/01/2018 0:00
 350,565,005 ;24/01/2019 0:00
 410,278,505 ;6/11/2019 0:00
 853,957,650 ;20/07/2019 0:00
 343,451,660 ;12/08/2019 0:00
 640,164,996 ;11/08/2018 0:00
 284,493,351 ;6/02/2018 0:00
 810,737,609 ;7/10/2018 0:00
 393,526,481 ;7/06/2019 0:00
 430,426,092 ;15/06/2018 0:00
 312,056,193 ;22/05/2019 0:00
 518,623,319 ;4/07/2019 0:00
 289,419,402 ;3/09/2018 0:00
 258,251,141 ;15/02/2018 0:00
 735,870,812 ;12/05/2018 0:00
 742,398,308 ;12/10/2019 0:00
 309,770,022 ;3/10/2019 0:00
 297,820,706 ;13/06/2018 0:00
 435,453,771 ;12/01/2018 0:00
 357,126,332 ;1/02/2018 0:00
 438,350,124 ;31/05/2019 0:00
 646,890,159 ;29/12/2017 0:00
 279,861,113 ;11/02/2019 0:00
 277,486,467 ;9/08/2018 0:00
 448,204,035 ;21/05/2018 0:00
 286,147,320 ;8/02/2018 0:00
 265,891,253 ;5/09/2018 0:00
 675,032,057 ;4/08/2018 0:00
 398,784,032 ;28/09/2018 0:00
 670,055,789 ;9/02/2019 0:00
 309,599,643 ;28/10/2019 0:00
 292,756,179 ;6/04/2018 0:00
 677,627,082 ;24/12/2019 0:00
 335,023,815 ;30/05/2019 0:00
 304,154,673 ;22/01/2018 0:00
 519,373,835 ;11/10/2019 0:00
 792,462,329 ;29/12/2018 0:00
 442,705,088 ;6/12/2018 0:00
 589,698,393 ;7/04/2018 0:00
 401,507,999 ;10/10/2018 0:00
 927,149,076 ;28/04/2019 0:00
 273,873,887 ;1/10/2018 0:00
 244,987,389 ;24/10/2018 0:00
 309,553,628 ;21/05/2019 0:00
 555,396,222 ;3/07/2019 0:00
 772,587,278 ;7/09/2019 0:00
 307,926,720 ;13/08/2019 0:00
 636,378,420 ;15/09/2018 0:00
 292,668,737 ;14/03/2019 0:00
 367,934,441 ;28/02/2019 0:00
 846,523,283 ;25/12/2019 0:00
 356,893,007 ;9/02/2018 0:00
 667,436,483 ;6/01/2018 0:00
 445,990,751 ;7/11/2019 0:00
 276,002,009 ;18/03/2019 0:00
 305,995,148 ;6/06/2019 0:00
 284,816,219 ;7/02/2018 0:00
 1,466,264,250 ;30/06/2018 0:00
 364,934,429 ;15/01/2018 0:00
 787,116,291 ;31/08/2019 0:00
 427,202,385 ;10/07/2019 0:00
 324,840,333 ;9/11/2018 0:00
 484,402,874 ;17/06/2019 0:00
 264,378,174 ;21/08/2018 0:00
 290,247,665 ;10/04/2019 0:00
 288,733,188 ;5/06/2018 0:00
 691,328,933 ;25/02/2018 0:00
 372,082,325 ;27/07/2018 0:00
 382,335,599 ;10/08/2018 0:00
 472,189,167 ;20/03/2018 0:00
 800,604,228 ;18/11/2018 0:00
 419,081,147 ;6/08/2019 0:00
 856,556,421 ;28/07/2019 0:00
 691,411,059 ;15/10/2018 0:00
 752,797,500 ;19/04/2019 0:00
 307,940,889 ;9/09/2019 0:00
 248,672,762 ;11/09/2018 0:00
 381,195,623 ;19/07/2018 0:00
 279,462,134 ;8/08/2018 0:00
 716,659,110 ;13/10/2018 0:00
 291,117,446 ;15/10/2019 0:00
 521,112,911 ;18/12/2018 0:00
 711,022,854 ;24/08/2019 0:00
 719,872,527 ;18/06/2018 0:00
 343,093,824 ;18/11/2019 0:00
 954,172,518 ;2/06/2019 0:00
 447,306,066 ;22/02/2019 0:00
 310,876,167 ;5/02/2019 0:00
 449,777,082 ;13/09/2019 0:00
 337,109,315 ;18/01/2018 0:00
 554,979,794 ;6/12/2019 0:00
 735,740,366 ;28/09/2019 0:00
 528,612,183 ;20/06/2019 0:00
 836,643,689 ;11/08/2019 0:00
 327,070,319 ;28/08/2019 0:00
 731,536,838 ;31/10/2018 0:00
 874,880,763 ;7/07/2019 0:00
 283,887,461 ;23/07/2018 0:00
 226,180,743 ;11/04/2018 0:00
 913,988,540 ;2/12/2018 0:00
 559,342,946 ;1/01/2018 0:00
 334,501,811 ;8/08/2019 0:00
 648,828,113 ;20/12/2019 0:00
 2,269,442,817 ;25/03/2018 0:00
 373,577,700 ;12/09/2019 0:00
 342,530,855 ;4/06/2019 0:00
 498,922,173 ;4/07/2018 0:00
 868,822,505 ;21/12/2019 0:00
 712,841,091 ;2/06/2018 0:00
 296,326,838 ;16/10/2019 0:00
 230,932,007 ;12/04/2018 0:00
 267,763,821 ;22/02/2018 0:00
 256,615,992 ;25/09/2018 0:00
 293,212,350 ;4/10/2018 0:00
 410,187,005 ;17/07/2019 0:00
 301,083,785 ;10/06/2019 0:00
 678,155,468 ;12/01/2019 0:00
 391,447,820 ;26/06/2018 0:00
 331,938,662 ;22/11/2018 0:00
 846,373,430 ;9/12/2018 0:00
 272,540,931 ;30/07/2018 0:00
 428,555,445 ;10/05/2019 0:00
 290,039,603 ;13/02/2019 0:00
 677,605,145 ;21/10/2018 0:00
 289,365,900 ;20/03/2019 0:00
 332,497,952 ;2/09/2019 0:00
 473,134,797 ;11/12/2019 0:00
 704,286,026 ;16/02/2019 0:00
 370,319,405 ;11/07/2018 0:00
 715,009,286 ;13/01/2019 0:00
 241,250,918 ;2/04/2018 0:00
 264,747,555 ;6/11/2018 0:00
 241,604,982 ;24/05/2018 0:00
 241,493,078 ;5/04/2018 0:00
 362,458,262 ;12/07/2018 0:00
 848,666,796 ;10/11/2019 0:00
 893,957,205 ;29/06/2019 0:00
 372,337,973 ;2/03/2018 0:00
 496,417,883 ;11/01/2019 0:00
 263,303,022 ;21/03/2019 0:00
 793,609,317 ;16/09/2018 0:00
 682,414,181 ;28/12/2018 0:00
 266,383,538 ;13/08/2018 0:00
 272,844,333 ;24/09/2019 0:00
 310,891,733 ;4/02/2019 0:00
 226,503,734 ;24/04/2018 0:00
 554,621,648 ;8/03/2019 0:00
 346,487,619 ;29/07/2019 0:00
 310,575,459 ;6/06/2018 0:00
 440,930,981 ;15/01/2019 0:00
 291,264,671 ;2/10/2018 0:00
 257,915,307 ;25/10/2018 0:00
 882,008,438 ;8/12/2019 0:00
 768,307,988 ;27/07/2019 0:00
 450,675,138 ;10/01/2019 0:00
 511,200,486 ;14/06/2019 0:00
 278,674,508 ;9/04/2019 0:00
 456,131,951 ;25/06/2019 0:00
 873,286,460 ;17/03/2019 0:00
 265,841,843 ;12/09/2018 0:00
 877,433,232 ;30/12/2018 0:00
 485,981,283 ;7/12/2018 0:00
 534,171,963 ;21/03/2018 0:00
 868,298,304 ;16/12/2018 0:00
 275,499,375 ;13/11/2019 0:00
 754,900,053 ;18/04/2019 0:00
 316,310,090 ;6/03/2019 0:00
 605,381,994 ;3/11/2018 0:00
 594,273,207 ;24/02/2018 0:00
 260,982,987 ;29/08/2018 0:00
 373,337,151 ;5/08/2019 0:00
 864,270,168 ;27/04/2019 0:00
 328,347,107 ;21/11/2018 0:00
 359,471,576 ;15/05/2019 0:00
 500,852,720 ;2/07/2019 0:00
 306,102,624 ;6/05/2019 0:00
 430,119,398 ;6/09/2019 0:00
 253,358,172 ;24/07/2018 0:00
 1,016,100,377 ;1/12/2019 0:00
 257,200,758 ;27/08/2018 0:00
 884,019,360 ;15/09/2019 0:00
 753,988,593 ;10/02/2019 0:00
 302,192,594 ;20/09/2018 0:00
 362,549,495 ;23/02/2018 0:00
 733,090,677 ;20/05/2018 0:00
 517,678,959 ;6/03/2018 0:00
 452,957,379 ;26/07/2019 0:00
 269,405,472 ;15/03/2018 0:00
 362,142,372 ;31/01/2018 0:00
 514,712,537 ;9/10/2019 0:00
 446,752,578 ;4/12/2018 0:00
 315,093,863 ;29/10/2019 0:00
